Start Time,Chip ID,PassFill,Defect Code,Model Name,Tact Time,Grade
2021_0809_04:39:29,T917G064AC05,OK,,2V500DJ7QZ00S,30.3,A
2021_0809_04:42:56,T917G018BD02,OK,,2V500DJ7QZ00S,30.5,A
2021_0809_04:46:33,T917K098AT06,OK,,2V500DJ7QZ00S,30.0,A
2021_0809_04:50:16,T917G018BD06,OK,,2V500DJ7QZ00S,32.0,A
2021_0809_04:52:03,T917G018BD08,OK,,2V500DJ7QZ00S,29.7,A
2021_0809_04:53:50,T917G049AQ05,OK,,2V500DJ7QZ00S,29.2,A
2021_0809_04:58:54,T917G089AM07,OK,,2V500DJ7QZ00S,30.5,A
2021_0809_05:00:55,T909C033AC07,NG,PCMCK0003800069800C,2V500DJ7QZ00S,30.1,E
2021_0809_05:02:41,T917G079AD08,OK,,2V500DJ7QZ00S,31.3,A
2021_0809_05:04:50,T917G145AG07,OK,,2V500DJ7QZ00S,30.4,A
2021_0809_05:06:45,T917G057AE04,OK,,2V500DJ7QZ00S,30.8,A
2021_0809_05:08:50,T9175101AV02,OK,,2V500DJ7QZ00S,30.5,A
2021_0809_05:22:07,T9175094AA07,OK,,2V500DJ7QZ00S,30.4,A
2021_0809_05:23:53,T917J023AL05,OK,,2V500DJ7QZ00S,30.7,A
2021_0809_05:25:42,T917G082AG03,OK,,2V500DJ7QZ00S,30.1,A
2021_0809_05:46:44,T917G139AE04,OK,,2V500DJ7QZ00S,31.5,A
2021_0809_05:52:06,T917L052AH06,OK,,2V500DJ7QZ00S,30.6,A
2021_0809_06:04:58,T917G073AF03,OK,,2V500DJ7QZ00S,29.9,A
2021_0809_06:23:34,T917K111AH08,OK,,2V500DJ7QZ00S,30.0,A
2021_0809_06:30:51,T917G076AV02,OK,,2V500DJ7QZ00S,36.3,A
2021_0809_06:32:43,T917G083AN08,OK,,2V500DJ7QZ00S,30.8,A
2021_0809_06:34:31,T917K092AT07,OK,,2V500DJ7QZ00S,30.0,A
2021_0809_06:36:17,T917G047AS04,OK,,2V500DJ7QZ00S,29.8,A
2021_0809_06:38:03,T917G081AU01,OK,,2V500DJ7QZ00S,41.8,A
2021_0809_06:43:36,T917G098BC07,OK,,2V500DJ7QZ00S,30.4,A
2021_0809_06:45:23,T917G059BA06,OK,,2V500DJ7QZ00S,29.6,A
2021_0809_06:47:09,T917G047AS06,OK,,2V500DJ7QZ00S,29.8,A
2021_0809_06:48:54,T917G052AN07,OK,,2V500DJ7QZ00S,30.8,A
2021_0809_06:50:41,T917G136AS04,OK,,2V500DJ7QZ00S,31.2,A
2021_0809_06:53:26,T9175090AP07,OK,,2V500DJ7QZ00S,30.5,A
2021_0809_06:55:12,T917G076AL07,OK,,2V500DJ7QZ00S,29.9,A
2021_0809_06:57:14,T917K051AQ08,OK,,2V500DJ7QZ00S,30.5,A
2021_0809_06:59:00,T917G125AS05,NG,PCMCK0279501708800C,2V500DJ7QZ00S,30.1,E
2021_0809_07:00:46,T917G130AP03,OK,,2V500DJ7QZ00S,30.7,A
2021_0809_07:02:32,T917G130AP07,OK,,2V500DJ7QZ00S,29.8,A
2021_0809_07:10:56,T917K092AR08,OK,,2V500DJ7QZ00S,30.2,A
2021_0809_07:12:42,T917G144AT07,OK,,2V500DJ7QZ00S,30.0,A
2021_0809_07:14:29,T917G081BC03,OK,,2V500DJ7QZ00S,30.6,A
2021_0809_07:16:15,T917G083AF06,OK,,2V500DJ7QZ00S,29.5,A
2021_0809_07:18:00,T917G083AF04,OK,,2V500DJ7QZ00S,30.3,A
